,official gene symbol,cell type (general),cell type id (human),gene id
4258,CXCL12,Sertoli cells,Q101404909,Q18031428
4259,SOX11,Epiblast cells,Q101404877,Q18031656
4260,CRMP1,Epiblast cells,Q101404877,Q17909813
4261,DPYSL5,Epiblast cells,Q101404877,Q18042559
4262,INA,Epiblast cells,Q101404877,Q18033840
4263,MFAP2,Epiblast cells,Q101404877,Q18029056
4264,ST6GAL1,Epithelial cells,Q101404948,Q18031497
4265,IL1R1,Epithelial cells,Q101404948,Q18027814
4266,IL1R1,Fibroblasts,Q101404861,Q18027814
4267,IL1R1,T regulatory cells,Q101405084,Q18027814
4268,KRT1,Epithelial cells,Q101404948,Q14864147
4269,KRT1,Keratinocytes,Q101405049,Q14864147
4270,KLK3,Epithelial cells,Q101404948,Q14859580
4271,KLK3,Luminal epithelial cells,Q101404886,Q14859580
4272,KLK3,Neuroblasts,Q101405031,Q14859580
4273,KRT3,Epithelial cells,Q101404948,Q14864162
4274,KRT16,Epithelial cells,Q101404948,Q14864348
4275,KRT16,Keratinocytes,Q101405049,Q14864348
4276,ITGA1,Epithelial cells,Q101404948,Q14912125
4277,ITGA1,Smooth muscle cells,Q101404901,Q14912125
4278,KRT2,Epithelial cells,Q101404948,Q14864167
4279,SCNN1B,Epithelial cells,Q101404948,Q18031403
4280,SCNN1B,Principal cells,Q101404911,Q18031403
4281,SCNN1B,Pulmonary alveolar type I cells,Q101405061,Q18031403
4282,SCNN1D,Epithelial cells,Q101404948,Q18031404
4283,SCNN1G,Epithelial cells,Q101404948,Q18031405
4284,SCNN1G,Principal cells,Q101404911,Q18031405
4285,SCNN1G,Pulmonary alveolar type I cells,Q101405061,Q18031405
4286,IFI16,Epithelial cells,Q101404948,Q18027568
4287,BOK,Epithelial cells,Q101404948,Q17850251
4288,BOK,Granulosa cells,Q101404921,Q17850251
4289,NKD1,Epithelial cells,Q101404948,Q18048023
4290,FZD6,Epithelial cells,Q101404948,Q18032821
4291,SFRP5,Epithelial cells,Q101404948,Q18031453
4292,SFRP5,Hepatocytes,Q101405101,Q18031453
4293,RAI14,Epithelial cells,Q101404948,Q18037991
4294,GPA33,Epithelial cells,Q101404948,Q18035136
4295,CRYBA1,Epithelial cells,Q101404948,Q5191428
4296,CEACAM5,Epithelial cells,Q101404948,Q17860979
4297,CTSE,Epithelial cells,Q101404948,Q18248582
4298,EXO1,Epithelial cells,Q101404948,Q18033878
4299,EXO1,Sebocytes,Q101405069,Q18033878
4300,FOXA1,Epithelial cells,Q101404948,Q18027046
4301,FOXA1,Hepatocytes,Q101405101,Q18027046
4302,GABRP,Epithelial cells,Q101404948,Q18025185
4303,SFN,Epithelial cells,Q101404948,Q18026310
4304,SFN,Keratinocytes,Q101405049,Q18026310
4305,SFN,Myoepithelial cells,Q101404924,Q18026310
4306,KRT13,Epithelial cells,Q101404948,Q14864179
4307,CDKN2A,Epithelial cells,Q101404948,Q5009957
4308,PSCA,Epithelial cells,Q101404948,Q18032698
4309,PSCA,Foveolar cells,Q101405056,Q18032698
4310,SPRR1B,Epithelial cells,Q101404948,Q18031677
4311,SPRR1B,Keratinocytes,Q101405049,Q18031677
4312,TM4SF20,Epithelial cells,Q101404948,Q18046408
4313,TM4SF20,Paneth cells,Q101405040,Q18046408
4314,TSTD1,Epithelial cells,Q101404948,Q18063331
4315,TSTD1,Olfactory epithelial cells,Q101405047,Q18063331
4316,SYCN,Epithelial cells,Q101404948,Q18055521
4317,HBEGF,Epithelial cells,Q101404948,Q14914537
4318,SELENBP1,Epithelial cells,Q101404948,Q18033643
4319,TSPAN1,Epithelial cells,Q101404948,Q18035030
4320,TSPAN1,Principal cells,Q101404911,Q18035030
4321,GUCA2A,Epithelial cells,Q101404948,Q18026673
4322,GUCA2A,Goblet cells,Q101405054,Q18026673
4323,GUCA2A,Paneth cells,Q101405040,Q18026673
4324,DLX5,Epithelial cells,Q101404948,Q17914019
4325,DLX5,Interneurons,Q101405035,Q17914019
4326,DLX5,Neural stem/precursor cells,Q101405041,Q17914019
4327,ITPR2,Epithelial cells,Q101404948,Q18028076
4328,ITPR2,Oligodendrocytes,Q101404898,Q18028076
4329,THRSP,Epithelial cells,Q101404948,Q18031988
4330,PLA2G4A,Epithelial cells,Q101404948,Q18030575
4331,SLC25A48,Epithelial cells,Q101404948,Q18052225
4332,PLEKHS1,Epithelial cells,Q101404948,Q18046488
4333,CDKL1,Epithelial cells,Q101404948,Q18033435
4334,MECOM,Epithelial cells,Q101404948,Q17917651
4335,MECOM,Hematopoietic stem cells,Q101405052,Q17917651
4336,MSX1,Epithelial cells,Q101404948,Q18029462
4337,MSX1,Pericytes,Q101405045,Q18029462
4338,RNF128,Epithelial cells,Q101404948,Q18046187
4339,RNF128,Mast cells,Q101404923,Q18046187
4340,RNF128,Olfactory epithelial cells,Q101405047,Q18046187
4341,ANLN,Epithelial cells,Q101404948,Q18041008
4342,ANLN,Oligodendrocytes,Q101404898,Q18041008
4343,CKAP2,Epithelial cells,Q101404948,Q18038311
4344,HMMR,Epithelial cells,Q101404948,Q18027035
4345,KIF15,Epithelial cells,Q101404948,Q18042766
4346,CKAP2L,Epithelial cells,Q101404948,Q18051954
4347,KIF20B,Epithelial cells,Q101404948,Q18034399
4348,HIRIP3,Epithelial cells,Q101404948,Q18032966
4349,INCENP,Epithelial cells,Q101404948,Q18027915
4350,KIF23,Epithelial cells,Q101404948,Q18034326
4351,PRC1,Epithelial cells,Q101404948,Q18033791
4352,ECT2,Epithelial cells,Q101404948,Q17915447
4353,CXCL10,Epithelial cells,Q101404948,Q14907804
4354,CXCL10,Leydig cells,Q101405116,Q14907804
4355,CXCL10,Monocytes,Q101405036,Q14907804
4356,CCL20,Epithelial cells,Q101404948,Q14907657
4357,CCL20,Microfold cells,Q101404934,Q14907657
4358,CCL20,T cells,Q101405075,Q14907657
4359,CXCL17,Epithelial cells,Q101404948,Q18054297
4360,ALOX15,Epithelial cells,Q101404948,Q18016431
4361,F5,Epithelial cells,Q101404948,Q14865116
4362,F5,Platelets,Q101404882,Q14865116
4363,EMILIN2,Epithelial cells,Q101404948,Q18047362
4364,SPTSSB,Epithelial cells,Q101404948,Q18052616
4365,SPTSSB,Epsilon cells,Q101404922,Q18052616
4366,FMO5,Epithelial cells,Q101404948,Q17928884
4367,IVL,Epithelial cells,Q101404948,Q18028085
4368,IVL,Keratinocytes,Q101405049,Q18028085
4369,IVL,Urothelial cells,Q101404883,Q18028085
4370,VSIG2,Epithelial cells,Q101404948,Q18037296
4371,AQP3,Epithelial cells,Q101404948,Q14905214
4372,AQP3,Gamma (PP) cells,Q101405057,Q14905214
4373,AQP3,Goblet cells,Q101405054,Q14905214
4374,AQP3,Hepatocytes,Q101405101,Q14905214
4375,AQP3,Keratinocytes,Q101405049,Q14905214
4376,AQP3,Luminal epithelial cells,Q101404886,Q14905214
4377,AQP3,Principal cells,Q101404911,Q14905214
4378,AQP3,Pulmonary alveolar type I cells,Q101405061,Q14905214
4379,PAQR5,Epithelial cells,Q101404948,Q18041310
4380,OCLN,Epithelial cells,Q101404948,Q14905777
4381,OCLN,Sertoli cells,Q101404909,Q14905777
4382,ANXA13,Epsilon cells,Q101404922,Q17828822
4383,ANXA13,Hepatocytes,Q101405101,Q17828822
4384,HMGCS2,Epsilon cells,Q101404922,Q18027029
4385,OLFML3,Epsilon cells,Q101404922,Q18042663
4386,OLFML3,Hepatic stellate cells,Q101404946,Q18042663
4387,OLFML3,Microglia,Q101404888,Q18042663
4388,ASGR1,Epsilon cells,Q101404922,Q17832212
4389,ASGR1,Follicular cells,Q101405110,Q17832212
4390,ASGR1,Follicular cells,Q101404875,Q17832212
4391,ASGR1,Hepatocytes,Q101405101,Q17832212
4392,COX6A2,Epsilon cells,Q101404922,Q17908996
4393,NPY1R,Epsilon cells,Q101404922,Q18030209
4394,FAXDC2,Epsilon cells,Q101404922,Q18035868
4395,SLC7A9,Epsilon cells,Q101404922,Q18036148
4396,C2ORF54,Epsilon cells,Q101404922,Q18046467
4397,GHRLOS,Epsilon cells,Q101404922,Q18062569
4398,BHMT,Epsilon cells,Q101404922,Q17848358
4399,BHMT,Luteal cells,Q101404954,Q17848358
4400,OPRK1,Epsilon cells,Q101404922,Q14897645
4401,PTGER4,Epsilon cells,Q101404922,Q18030900
4402,EYA4,Epsilon cells,Q101404922,Q17917387
4403,XYLB,Epsilon cells,Q101404922,Q18034900
4404,ELOVL2,Epsilon cells,Q101404922,Q18041361
4405,AFF3,Epsilon cells,Q101404922,Q18028427
4406,CORIN,Epsilon cells,Q101404922,Q18035614
4407,HRH2,Epsilon cells,Q101404922,Q14877295
4408,CALCR,Epsilon cells,Q101404922,Q14905625
4409,CALCR,Satellite cells,Q101404953,Q14905625
4410,SLC6A16,Epsilon cells,Q101404922,Q18039526
4411,PCSK6,Epsilon cells,Q101404922,Q18030335
4412,PCSK6,Fibroblasts,Q101404861,Q18030335
4413,PCSK6,Mesothelial cells,Q101405100,Q18030335
4414,ADAMTS6,Epsilon cells,Q101404922,Q18036184
4415,COL22A1,Epsilon cells,Q101404922,Q5013317
4416,FAM124A,Epsilon cells,Q101404922,Q18053422
4417,COL12A1,Epsilon cells,Q101404922,Q5145895
4418,COL12A1,Fibroblasts,Q101404861,Q5145895
4419,COL12A1,Osteoblasts,Q101405044,Q5145895
4420,CD109,Epsilon cells,Q101404922,Q18050621
4421,CD109,Myoepithelial cells,Q101404924,Q18050621
4422,CD109,Platelets,Q101404882,Q18050621
4423,THSD4,Epsilon cells,Q101404922,Q18046430
4424,VTN,Epsilon cells,Q101404922,Q14916393
4425,VTN,Fibroblasts,Q101404861,Q14916393
4426,VTN,Meningeal cells,Q101405083,Q14916393
4427,VTN,Pericytes,Q101405045,Q14916393
4428,APOH,Epsilon cells,Q101404922,Q14911006
4429,APOH,Hepatocytes,Q101405101,Q14911006
4430,SPINK1,Epsilon cells,Q101404922,Q18031671
4431,S100A6,Epsilon cells,Q101404922,Q18031352
4432,S100A6,Neural stem/precursor cells,Q101405041,Q18031352
4433,KRT8,Epsilon cells,Q101404922,Q14907896
4434,KRT8,Hepatoblasts,Q101404910,Q14907896
4435,KRT8,Luminal epithelial cells,Q101404886,Q14907896
4436,KRT8,Mammary epithelial cells,Q101404863,Q14907896
4437,KRT8,Merkel cells,Q101404933,Q14907896
4438,CGA,Erythroblasts,Q101405046,Q17861510
4439,CGA,Interneurons,Q101405035,Q17861510
4440,KLF1,Erythroblasts,Q101405046,Q18035587
4441,KLF1,Erythroid-like and erythroid precursor cells,Q101404957,Q18035587
4442,BPGM,Erythroblasts,Q101405046,Q17850714
4443,BPGM,Erythroid-like and erythroid precursor cells,Q101404957,Q17850714
4444,EPOR,Erythroblasts,Q101405046,Q14904899
4445,EPOR,Erythroid-like and erythroid precursor cells,Q101404957,Q14904899
4446,EPOR,Megakaryocytes,Q101404874,Q14904899
4447,IGBP1,Erythroblasts,Q101405046,Q18027665
4448,TFR2,Erythroblasts,Q101405046,Q18031967
4449,TFR2,Hepatocytes,Q101405101,Q18031967
4450,GYPA,Erythroblasts,Q101405046,Q18026700
4451,GYPA,Erythroid-like and erythroid precursor cells,Q101404957,Q18026700
4452,LMNB1,Erythroblasts,Q101405046,Q18028604
4453,LRP8,Erythroblasts,Q101405046,Q18032613
4454,LRP8,Neuroblasts,Q101405031,Q18032613
4455,GRSF1,Erythroblasts,Q101405046,Q18026565
4456,USE1,Erythroblasts,Q101405046,Q18042105
4457,CFP,Erythroblasts,Q101405046,Q18030474
4458,CFP,Mast cells,Q101404923,Q18030474
4459,CFP,Monocytes,Q101405036,Q18030474
4460,CFP,Neutrophils,Q101405102,Q18030474
4461,LMO2,Erythroblasts,Q101405046,Q18028609
4462,GATA1,Erythroblasts,Q101405046,Q14916151
4463,GATA1,Megakaryocytes,Q101404874,Q14916151
4464,GATA1,Sertoli cells,Q101404909,Q14916151
4465,TAL1,Erythroblasts,Q101405046,Q14914628
4466,TAL1,Hemangioblasts,Q101404945,Q14914628
4467,TAL1,Hematopoietic stem cells,Q101405052,Q14914628
4468,KMT5A,Erythroblasts,Q101405046,Q18056434
4469,PIEZO1,Erythroblasts,Q101405046,Q18034667
4470,PIEZO1,Mammary epithelial cells,Q101404863,Q18034667
4471,PIEZO1,Urothelial cells,Q101404883,Q18034667
4472,ALAS2,Erythroid-like and erythroid precursor cells,Q101404957,Q17816607
4473,HEXA,Erythroid-like and erythroid precursor cells,Q101404957,Q18026873
4474,CCNA2,Erythroid-like and erythroid precursor cells,Q101404957,Q5198263
4475,PKLR,Erythroid-like and erythroid precursor cells,Q101404957,Q18030566
4476,HBB,Erythroid-like and erythroid precursor cells,Q101404957,Q14905542
4477,HBA1,Erythroid-like and erythroid precursor cells,Q101404957,Q15328081
4478,HBA2,Erythroid-like and erythroid precursor cells,Q101404957,Q18026799
4479,HBG1,Erythroid-like and erythroid precursor cells,Q101404957,Q18026817
4480,HBG2,Erythroid-like and erythroid precursor cells,Q101404957,Q18026820
4481,THBS1,Erythroid-like and erythroid precursor cells,Q101404957,Q14906367
4482,THBS1,Loop of Henle cells,Q101405109,Q14906367
4483,THBS1,Platelets,Q101404882,Q14906367
4484,THBS1,Salivary mucous cells,Q101404929,Q14906367
4485,GYPB,Erythroid-like and erythroid precursor cells,Q101404957,Q18026703
4486,AHSP,Erythroid-like and erythroid precursor cells,Q101404957,Q18040219
4487,HBM,Erythroid-like and erythroid precursor cells,Q101404957,Q18026804
4488,FECH,Erythroid-like and erythroid precursor cells,Q101404957,Q14904856
4489,DCAF12,Erythroid-like and erythroid precursor cells,Q101404957,Q18037749
4490,HBD,Erythroid-like and erythroid precursor cells,Q101404957,Q18026810
4491,HEMGN,Erythroid-like and erythroid precursor cells,Q101404957,Q18041800
4492,HMBS,Erythroid-like and erythroid precursor cells,Q101404957,Q14904818
4493,NCOA4,Erythroid-like and erythroid precursor cells,Q101404957,Q18032710
4494,NCOA4,Platelets,Q101404882,Q18032710
4495,RBM38,Erythroid-like and erythroid precursor cells,Q101404957,Q18041853
4496,UBB,Erythroid-like and erythroid precursor cells,Q101404957,Q18032248
4497,TMCC2,Erythroid-like and erythroid precursor cells,Q101404957,Q18034874
4498,SLC4A1,Erythroid-like and erythroid precursor cells,Q101404957,Q14877701
4499,SLC4A1,Intercalated cells,Q101404915,Q14877701
4500,SLC25A39,Erythroid-like and erythroid precursor cells,Q101404957,Q18040465
4501,FOSB,Erythroid-like and erythroid precursor cells,Q101404957,Q17929096
4502,FOSB,Fibroblasts,Q101404861,Q17929096
4503,HTATSF1,Erythroid-like and erythroid precursor cells,Q101404957,Q18038791
4504,EPB41,Erythroid-like and erythroid precursor cells,Q101404957,Q14908148
4505,RSAD2,Erythroid-like and erythroid precursor cells,Q101404957,Q18048526
4506,COX6B2,Erythroid-like and erythroid precursor cells,Q101404957,Q18049641
4507,COX6B2,Germ cells,Q101404931,Q18049641
4508,ASNS,Erythroid-like and erythroid precursor cells,Q101404957,Q17832258
4509,ALAD,Erythroid-like and erythroid precursor cells,Q101404957,Q17816567
4510,AHSG,Erythroid-like and erythroid precursor cells,Q101404957,Q4734885
4511,ERMAP,Erythroid-like and erythroid precursor cells,Q101404957,Q18049009
4512,KCNN4,Erythroid-like and erythroid precursor cells,Q101404957,Q18028228
4513,KCNN4,Paneth cells,Q101405040,Q18028228
4514,KCNN4,Pyramidal cells,Q101404930,Q18028228
4515,PAN3,Erythroid-like and erythroid precursor cells,Q101404957,Q18053825
4516,PFAS,Erythroid-like and erythroid precursor cells,Q101404957,Q18030472
4517,VAMP5,Erythroid-like and erythroid precursor cells,Q101404957,Q18035836
4518,PNPO,Erythroid-like and erythroid precursor cells,Q101404957,Q18041609
4519,TSPO2,Erythroid-like and erythroid precursor cells,Q101404957,Q18053569
4520,RHD,Erythroid-like and erythroid precursor cells,Q101404957,Q18031125
4521,TSPAN33,Erythroid-like and erythroid precursor cells,Q101404957,Q18055400
4522,EPB42,Erythroid-like and erythroid precursor cells,Q101404957,Q14908156
4523,CD47,Erythroid-like and erythroid precursor cells,Q101404957,Q17859676
4524,EDRF1,Erythroid-like and erythroid precursor cells,Q101404957,Q18038114
4525,EPB41L2,Erythroid-like and erythroid precursor cells,Q101404957,Q17916841
4526,KEL,Erythroid-like and erythroid precursor cells,Q101404957,Q18028243
4527,RHAG,Erythroid-like and erythroid precursor cells,Q101404957,Q18031123
4528,THRB,Erythroid-like and erythroid precursor cells,Q101404957,Q18031987
4529,UROD,Erythroid-like and erythroid precursor cells,Q101404957,Q14888124
4530,UROS,Erythroid-like and erythroid precursor cells,Q101404957,Q18032303
4531,SNCA,Erythroid-like and erythroid precursor cells,Q101404957,Q14862268
4532,CELA1,Fibroblasts,Q101404861,Q17916097
4533,PDGFRB,Fibroblasts,Q101404861,Q18030425
4534,PDGFRB,Mesangial cells,Q101405121,Q18030425
4535,PDGFRB,Pancreatic stellate cells,Q101404859,Q18030425
4536,PDGFRB,Pericytes,Q101405045,Q18030425
4537,PDGFRB,Pulmonary vascular smooth muscle cells,Q101404955,Q18030425
4538,PDGFRB,Stromal cells,Q101404941,Q18030425
4539,PDGFRB,Vascular smooth muscle cells,Q101404937,Q18030425
4540,P4HA1,Fibroblasts,Q101404861,Q18030327
4541,FGR,Fibroblasts,Q101404861,Q17928333
4542,FGR,Macrophages,Q101405081,Q17928333
4543,TNFRSF1B,Fibroblasts,Q101404861,Q18032045
4544,PRKCD,Fibroblasts,Q101404861,Q15329434
4545,PRKCD,Interneurons,Q101405035,Q15329434
4546,PRKCD,Platelets,Q101404882,Q15329434
4547,ABI3,Fibroblasts,Q101404861,Q18040105
4548,TREML4,Fibroblasts,Q101404861,Q18054627
4549,TREML4,Macrophages,Q101405081,Q18054627
4550,TREML4,Red pulp macrophages,Q101404936,Q18054627
4551,PIP4K2A,Fibroblasts,Q101404861,Q18030560
4552,CD300E,Fibroblasts,Q101404861,Q18055506
4553,SERPINB10,Fibroblasts,Q101404861,Q18030533
4554,CTHRC1,Fibroblasts,Q101404861,Q18049183
4555,CTHRC1,Schwann cells,Q101404893,Q18049183
4556,COL15A1,Fibroblasts,Q101404861,Q5145899
4557,COL15A1,Peritubular myoid cells,Q101405058,Q5145899
4558,COL15A1,Stromal cells,Q101404941,Q5145899
4559,GJB2,Fibroblasts,Q101404861,Q18025996
4560,GJB2,Hepatocytes,Q101405101,Q18025996
4561,GJB2,Microfold cells,Q101404934,Q18025996
4562,IL34,Fibroblasts,Q101404861,Q18051459
4563,SLC6A13,Fibroblasts,Q101404861,Q18031544
4564,ITIH5,Fibroblasts,Q101404861,Q18046769
4565,PENK,Fibroblasts,Q101404861,Q7247879
4566,PENK,Neuroendocrine cells,Q101405206,Q7247879
4567,PENK,Osteoblasts,Q101405044,Q7247879
4568,PENK,Purkinje neurons,Q101404913,Q7247879
4569,PENK,Tanycytes,Q101405074,Q7247879
4570,MMP14,Fibroblasts,Q101404861,Q18029210
4571,MMP14,Mammary epithelial cells,Q101404863,Q18029210
4572,MMP14,Pancreatic stellate cells,Q101404859,Q18029210
4573,EFEMP1,Fibroblasts,Q101404861,Q17927711
4574,EFEMP1,Mesothelial cells,Q101405100,Q17927711
4575,IGFBP3,Fibroblasts,Q101404861,Q18027678
4576,IGFBP3,Hepatic stellate cells,Q101404946,Q18027678
4577,IGFBP3,Leydig cells,Q101405116,Q18027678
4578,IGFBP3,Neural stem/precursor cells,Q101405041,Q18027678
4579,COPZ2,Fibroblasts,Q101404861,Q18040106
4580,COPZ2,Mast cells,Q101404923,Q18040106
4581,DPEP1,Fibroblasts,Q101404861,Q17914124
4582,COL5A1,Fibroblasts,Q101404861,Q15311973
4583,COL5A1,Müller cells,Q101405096,Q15311973
4584,COL5A1,Müller cells,Q101405097,Q15311973
4585,CD248,Fibroblasts,Q101404861,Q18042907
4586,CD248,Pericytes,Q101405045,Q18042907
4587,CD248,Stromal cells,Q101404941,Q18042907
4588,PAMR1,Fibroblasts,Q101404861,Q18037774
4589,TNXB,Fibroblasts,Q101404861,Q14914344
4590,COL14A1,Fibroblasts,Q101404861,Q18032289
4591,CLEC3B,Fibroblasts,Q101404861,Q18032035
4592,CLEC3B,Microglia,Q101404888,Q18032035
4593,IGFBP6,Fibroblasts,Q101404861,Q18027686
4594,IGFBP6,Hepatic stellate cells,Q101404946,Q18027686
4595,IGFBP6,Pulmonary alveolar type I cells,Q101405061,Q18027686
4596,COL5A2,Fibroblasts,Q101404861,Q15311996
4597,FBN1,Fibroblasts,Q101404861,Q17927651
4598,MFAP5,Fibroblasts,Q101404861,Q18032720
4599,MFAP5,Smooth muscle cells,Q101404901,Q18032720
4600,FKBP10,Fibroblasts,Q101404861,Q18045462
4601,PALLD,Fibroblasts,Q101404861,Q14907645
4602,PALLD,Myofibroblasts,Q101404949,Q14907645
4603,PALLD,Platelets,Q101404882,Q14907645
4604,WIF1,Fibroblasts,Q101404861,Q18036358
4605,SNHG18,Fibroblasts,Q101404861,Q18067856
4606,CDH11,Fibroblasts,Q101404861,Q17859961
4607,CDH11,Myofibroblasts,Q101404949,Q17859961
4608,CDH11,Stromal cells,Q101404941,Q17859961
4609,ARAP1,Fibroblasts,Q101404861,Q18049269
4610,FBLN2,Fibroblasts,Q101404861,Q17927618
4611,FBLN2,Neurons,Q101405104,Q17927618
4612,IGF1,Fibroblasts,Q101404861,Q14863714
4613,IGF1,Leydig cells,Q101405116,Q14863714
4614,IGF1,Loop of Henle cells,Q101405109,Q14863714
4615,IGF1,Neurons,Q101405104,Q14863714
4616,PRRX1,Fibroblasts,Q101404861,Q18030630
4617,OAF,Fibroblasts,Q101404861,Q18053433
4618,OAF,Mast cells,Q101404923,Q18053433
4619,COL6A3,Fibroblasts,Q101404861,Q17908096
4620,COL6A3,Pancreatic stellate cells,Q101404859,Q17908096
4621,CTSK,Fibroblasts,Q101404861,Q14902045
4622,CTSK,Macrophages,Q101405081,Q14902045
4623,CTSK,Osteoclasts,Q101404928,Q14902045
4624,DKK1,Fibroblasts,Q101404861,Q18036610
4625,DKK1,Loop of Henle cells,Q101405109,Q18036610
4626,C1S,Fibroblasts,Q101404861,Q5156403
4627,GREM1,Fibroblasts,Q101404861,Q18038310
4628,COL8A1,Fibroblasts,Q101404861,Q508356
4629,CXCL3,Fibroblasts,Q101404861,Q20970201
4630,COL13A1,Fibroblasts,Q101404861,Q5145896
4631,ADAMTS10,Fibroblasts,Q101404861,Q18047097
4632,ADAM33,Fibroblasts,Q101404861,Q18046720
4633,LAMA2,Fibroblasts,Q101404861,Q18028441
4634,LAMA2,Myocytes,Q101404903,Q18028441
4635,FBLN7,Fibroblasts,Q101404861,Q18049958
4636,FIBIN,Fibroblasts,Q101404861,Q18056416
4637,THBS2,Fibroblasts,Q101404861,Q18031979
4638,THBS2,Leydig cells,Q101405116,Q18031979
4639,PTX3,Fibroblasts,Q101404861,Q18030959
4640,LRRK1,Fibroblasts,Q101404861,Q18046282
4641,COL7A1,Fibroblasts,Q101404861,Q5145892
4642,PKD2,Fibroblasts,Q101404861,Q18030564
4643,HAS1,Fibroblasts,Q101404861,Q18026790
4644,ERCC1,Fibroblasts,Q101404861,Q17917256
4645,WISP1,Fibroblasts,Q101404861,Q18033474
4646,RIPK3,Fibroblasts,Q101404861,Q18036048
4647,DDR2,Fibroblasts,Q101404861,Q18030231
4648,ELN,Fibroblasts,Q101404861,Q14864092
4649,FN1,Fibroblasts,Q101404861,Q14819473
4650,FN1,Mesangial cells,Q101405121,Q14819473
4651,FN1,Monocytes,Q101405036,Q14819473
4652,FN1,Pancreatic stellate cells,Q101404859,Q14819473
4653,HHIP,Fibroblasts,Q101404861,Q18045655
4654,HHIP,Smooth muscle cells,Q101404901,Q18045655
4655,FMO2,Fibroblasts,Q101404861,Q17928874
4656,FMO2,Mesothelial cells,Q101405100,Q17928874
4657,COL1A2,Fibroblasts,Q101404861,Q15317046
4658,COL1A2,Hepatic stellate cells,Q101404946,Q15317046
4659,COL1A2,Pancreatic stellate cells,Q101404859,Q15317046
4660,COL3A1,Fibroblasts,Q101404861,Q14906847
4661,COL3A1,Hepatic stellate cells,Q101404946,Q14906847
4662,COL3A1,Müller cells,Q101405096,Q14906847
4663,COL3A1,Müller cells,Q101405097,Q14906847
4664,COL3A1,Pancreatic stellate cells,Q101404859,Q14906847
4665,FSTL1,Fibroblasts,Q101404861,Q18036177
4666,GSN,Fibroblasts,Q101404861,Q18297560
4667,COL1A1,Fibroblasts,Q101404861,Q14881725
4668,COL1A1,Hepatic stellate cells,Q101404946,Q14881725
4669,COL1A1,Müller cells,Q101405096,Q14881725
4670,COL1A1,Müller cells,Q101405097,Q14881725
4671,COL1A1,Osteoblasts,Q101405044,Q14881725
4672,COL1A1,Pancreatic stellate cells,Q101404859,Q14881725
4673,COL1A1,Pericytes,Q101405045,Q14881725
4674,NOX4,Fibroblasts,Q101404861,Q18039812
4675,NOX4,Proximal tubule cells,Q101404885,Q18039812
4676,NOX4,Smooth muscle cells,Q101404901,Q18039812
4677,SERPINH1,Fibroblasts,Q101404861,Q14911942
4678,SERPINH1,Hepatocytes,Q101405101,Q14911942
4679,PDGFRA,Fibroblasts,Q101404861,Q18030422
4680,PDGFRA,Hepatic stellate cells,Q101404946,Q18030422
4681,PDGFRA,Meningeal cells,Q101405083,Q18030422
4682,PDGFRA,Oligodendrocyte progenitor cells,Q101404917,Q18030422
4683,PDGFRA,Pancreatic stellate cells,Q101404859,Q18030422
4684,PDGFRA,Stromal cells,Q101404941,Q18030422
4685,EN1,Fibroblasts,Q101404861,Q17916813
4686,EN1,Interneurons,Q101405035,Q17916813
4687,EN1,Motor neurons,Q101404862,Q17916813
4688,DCN,Fibroblasts,Q101404861,Q18248676
4689,DCN,Hepatic stellate cells,Q101404946,Q18248676
4690,DCN,Meningeal cells,Q101405083,Q18248676
4691,CEBPB,Fibroblasts,Q101404861,Q17861054
4692,CEBPB,Monocytes,Q101405036,Q17861054
4693,CEBPB,Sebocytes,Q101405069,Q17861054
4694,EGR1,Fibroblasts,Q101404861,Q14864821
4695,EGR1,Hematopoietic stem cells,Q101405052,Q14864821
4696,EGR1,Microglia,Q101404888,Q14864821
4697,EGR1,Natural killer T cells,Q101404895,Q14864821
4698,FOSL2,Fibroblasts,Q101404861,Q5426911
4699,FOSL2,Microfold cells,Q101404934,Q5426911
4700,HIF1A,Fibroblasts,Q101404861,Q20970095
4701,HIF1A,Luminal epithelial cells,Q101404886,Q20970095
4702,HIF1A,Osteoblasts,Q101405044,Q20970095
4703,HIF1A,Osteoclasts,Q101404928,Q20970095
4704,KLF2,Fibroblasts,Q101404861,Q18035329
4705,KLF6,Fibroblasts,Q101404861,Q17908682
4706,KLF6,Tuft cells,Q101404870,Q17908682
4707,KLF6,Tuft cells,Q101404871,Q17908682
4708,KLF9,Fibroblasts,Q101404861,Q17853705
4709,NFAT5,Fibroblasts,Q101404861,Q18035626
4710,NFATC1,Fibroblasts,Q101404861,Q18030068
4711,NFATC1,Megakaryocytes,Q101404874,Q18030068
4712,NFKB1,Fibroblasts,Q101404861,Q15317427
4713,NFKB1,Osteoclast precursor cells,Q101405070,Q15317427
4714,NFKB1,T helper cells,Q101423298,Q15317427
4715,NFKB1,T helper cells,Q101404876,Q15317427
4716,NR4A1,Fibroblasts,Q101404861,Q15312073
4717,NR4A1,Natural killer T cells,Q101404895,Q15312073
4718,PBX1,Fibroblasts,Q101404861,Q18030362
4719,PBX1,Neuroblasts,Q101405031,Q18030362
4720,RUNX1,Fibroblasts,Q101404861,Q15320451
4721,RUNX1,Hematopoietic stem cells,Q101405052,Q15320451
4722,RUNX1,Luminal epithelial cells,Q101404886,Q15320451
4723,RUNX1,Satellite cells,Q101404953,Q15320451
4724,LAMC1,Fibroblasts,Q101404861,Q18028460
