,official gene symbol,cell type
3961,KRT10,Keratinocytes
3962,SBSN,Keratinocytes
3963,KRT84,Keratinocytes
3964,KRT36,Keratinocytes
3965,OSR1,Kidney progenitor cells
3966,PAX2,Kidney progenitor cells
3967,EYA1,Kidney progenitor cells
3968,WT1,Kidney progenitor cells
3969,SIX2,Kidney progenitor cells
3970,SALL1,Kidney progenitor cells
3971,CITED1,Kidney progenitor cells
3972,TNF,Kupffer cells
3973,LYZ,Kupffer cells
3974,MPO,Kupffer cells
3975,VSIG4,Kupffer cells
3976,PROK2,Kupffer cells
3977,STARD5,Kupffer cells
3978,MSR1,Kupffer cells
3979,TLR9,Kupffer cells
3980,PPARA,Kupffer cells
3981,TREM1,Kupffer cells
3982,SLC11A1,Kupffer cells
3983,TLR4,Kupffer cells
3984,MMP13,Kupffer cells
3985,CD14,Kupffer cells
3986,VDR,Kupffer cells
3987,CHIT1,Kupffer cells
3988,OSM,Kupffer cells
3989,PPARD,Kupffer cells
3990,CLEC4F,Kupffer cells
3991,ADGRE1,Kupffer cells
3992,IL1B,Kupffer cells
3993,SLC40A1,Kupffer cells
3994,G6PD,Kupffer cells
3996,TIMD4,Kupffer cells
3997,MNDA,Kupffer cells
3998,SLC15A3,Kupffer cells
3999,DNASE1L3,Kupffer cells
4000,MARCO,Kupffer cells
4002,HFE,Kupffer cells
4003,CD38,Kupffer cells
4005,CD163,Kupffer cells
4006,CCR5,Kupffer cells
4007,CLEC1B,Kupffer cells
4009,CLEC4G,Kupffer cells
4010,GPIHBP1,Kupffer cells
4011,FOLR2,Kupffer cells
4012,PLTP,Kupffer cells
4013,FTL,Kupffer cells
4014,IRF7,Kupffer cells
4015,SPIC,Kupffer cells
4016,CSF1R,Kupffer cells
4017,C1QC,Kupffer cells
4018,C1QA,Kupffer cells
4019,C1QB,Kupffer cells
4020,CLEC4E,Kupffer cells
4021,ACHE,Langerhans cells
4022,CD1A,Langerhans cells
4023,FCGR1A,Langerhans cells
4024,HLA-DMA,Langerhans cells
4025,HLA-DMB,Langerhans cells
4026,HLA-DQA1,Langerhans cells
4027,HLA-DQA2,Langerhans cells
4028,HLA-DQB1,Langerhans cells
4029,HLA-DQB2,Langerhans cells
4030,HLA-DQB3,Langerhans cells
4031,HLA-DRA,Langerhans cells
4032,HLA-DRB1,Langerhans cells
4033,HLA-DRB5,Langerhans cells
4034,HLA-DRB6,Langerhans cells
4035,HLA-DRB9,Langerhans cells
4036,CD207,Langerhans cells
4037,EHF,Langerhans cells
4038,PRKCB,Langerhans cells
4039,AHR,Langerhans cells
4040,GPNMB,Langerhans cells
4041,EPCAM,Langerhans cells
4042,CD80,Langerhans cells
4043,PTPRC,Langerhans cells
4044,TLR2,Langerhans cells
4045,TLR4,Langerhans cells
4046,TLR9,Langerhans cells
4047,FCGR2A,Langerhans cells
4048,CCR6,Langerhans cells
4050,CLDN1,Langerhans cells
4051,HSD11B2,Leydig cells
4052,MAFB,Leydig cells
4053,ALDH1A1,Leydig cells
4054,SLC9A8,Leydig cells
4055,KISS1,Leydig cells
4056,PDE8A,Leydig cells
4057,LEP,Leydig cells
4058,CXCL10,Leydig cells
4059,PTCH1,Leydig cells
4060,GATA4,Leydig cells
4061,ACSBG1,Leydig cells
4062,INHA,Leydig cells
4063,HSD3B1,Leydig cells
4064,DHCR7,Leydig cells
4065,CALB2,Leydig cells
4066,CYP17A1,Leydig cells
4067,CYP11A1,Leydig cells
4068,IGF1,Leydig cells
4069,INSL3,Leydig cells
4070,NR5A2,Leydig cells
4071,LHCGR,Leydig cells
4072,MLANA,Leydig cells
4073,RLN1,Leydig cells
4074,RLN2,Leydig cells
4075,RLN3,Leydig cells
4076,TAC1,Leydig cells
4077,STAR,Leydig cells
4078,THBS2,Leydig cells
4079,PTGDS,Leydig cells
4080,LCN2,Leydig cells
4081,HSD17B3,Leydig cells
4082,ASS1,Leydig cells
4083,PRLR,Leydig cells
4086,CYP26B1,Leydig cells
4087,IGF2,Leydig cells
4088,IGFBP5,Leydig cells
4089,CFD,Leydig cells
4090,DLK1,Leydig cells
4091,IGFBP3,Leydig cells
4092,INHBA,Leydig cells
4093,VIT,Leydig cells
4094,ALDH1A3,Leydig cells
4095,NOS1,Leydig cells
4096,EDNRA,Leydig cells
4097,SMOC2,Leydig cells
4098,ADAM21,Leydig cells
4099,ESRRG,Leydig cells
4100,GPRC6A,Leydig cells
4101,GJA1,Leydig cells
4102,GAS6,Leydig cells
4103,SULT1E1,Leydig cells
4104,CYP19A1,Leydig cells
4105,PLAUR,Leydig cells
4106,FABP9,Leydig cells
4107,CLDN16,Loop of Henle cells
4108,CLDN8,Loop of Henle cells
4109,UMOD,Loop of Henle cells
4110,FABP4,Loop of Henle cells
4111,AQP1,Loop of Henle cells
4112,CLDN10,Loop of Henle cells
4113,CLDN19,Loop of Henle cells
4114,SLC12A1,Loop of Henle cells
4115,DEFB1,Loop of Henle cells
4116,CLCNKA,Loop of Henle cells
4117,TRPM7,Loop of Henle cells
4118,CDH6,Loop of Henle cells
4119,LCN2,Loop of Henle cells
4120,DKK1,Loop of Henle cells
4121,DACH1,Loop of Henle cells
4122,SLC12A3,Loop of Henle cells
4123,SLC11A2,Loop of Henle cells
4124,ARVCF,Loop of Henle cells
4125,RGS5,Loop of Henle cells
4126,COX4I2,Loop of Henle cells
4127,CYP4B1,Loop of Henle cells
4128,PARVB,Loop of Henle cells
4129,SH3RF2,Loop of Henle cells
4130,HEY2,Loop of Henle cells
4131,NKAIN4,Loop of Henle cells
4132,ADAMTS5,Loop of Henle cells
4133,CXCL1,Loop of Henle cells
4134,GEM,Loop of Henle cells
4135,FGA,Loop of Henle cells
4136,PLA2G7,Loop of Henle cells
4137,THBS1,Loop of Henle cells
4138,ENC1,Loop of Henle cells
4139,SPSB1,Loop of Henle cells
4140,ARID5A,Loop of Henle cells
4141,CD40,Loop of Henle cells
4142,SLC14A2,Loop of Henle cells
4143,NRGN,Loop of Henle cells
4144,RNF182,Loop of Henle cells
4145,PCSK9,Loop of Henle cells
4146,DRAM1,Loop of Henle cells
4147,ARC,Loop of Henle cells
4148,NEK6,Loop of Henle cells
4149,CDKN1C,Loop of Henle cells
4150,CALCRL,Loop of Henle cells
4151,SMARCD3,Loop of Henle cells
4152,KCNT1,Loop of Henle cells
4153,PTGS2,Loop of Henle cells
4154,IRX2,Loop of Henle cells
4155,PPP1R1B,Loop of Henle cells
4156,LIPG,Loop of Henle cells
4157,TNNI1,Loop of Henle cells
4158,LRRC66,Loop of Henle cells
4159,IGF1,Loop of Henle cells
4160,FGFR2,Luminal epithelial cells
4161,FGG,Luminal epithelial cells
4162,KRT18,Luminal epithelial cells
4163,ANKRD30A,Luminal epithelial cells
4164,SLPI,Luminal epithelial cells
4165,PROM1,Luminal epithelial cells
4166,KRT19,Luminal epithelial cells
4167,SYTL2,Luminal epithelial cells
4168,CD74,Luminal epithelial cells
4169,AGR2,Luminal epithelial cells
4170,LTF,Luminal epithelial cells
4171,SAA2,Luminal epithelial cells
4172,KRT23,Luminal epithelial cells
4173,SERPINB4,Luminal epithelial cells
4174,SERPINB3,Luminal epithelial cells
4175,WFDC2,Luminal epithelial cells
4176,LCN2,Luminal epithelial cells
4177,BTG1,Luminal epithelial cells
4178,CLDN4,Luminal epithelial cells
4179,ANXA1,Luminal epithelial cells
4180,HMGA1,Luminal epithelial cells
4181,STC2,Luminal epithelial cells
4182,AREG,Luminal epithelial cells
4183,TNFSF10,Luminal epithelial cells
4184,SERPINA1,Luminal epithelial cells
4185,PIP,Luminal epithelial cells
4186,ATP7B,Luminal epithelial cells
4187,HIF1A,Luminal epithelial cells
4188,FGFR4,Luminal epithelial cells
4189,DDR1,Luminal epithelial cells
4190,CEBPD,Luminal epithelial cells
4191,PGR,Luminal epithelial cells
4192,KRT8,Luminal epithelial cells
4193,UXT,Luminal epithelial cells
4194,PTH1R,Luminal epithelial cells
4195,CD9,Luminal epithelial cells
4196,AR,Luminal epithelial cells
4197,AQP3,Luminal epithelial cells
4198,ATP2C2,Luminal epithelial cells
4199,WNT5A,Luminal epithelial cells
4200,SLC12A2,Luminal epithelial cells
4201,ESR1,Luminal epithelial cells
4202,AQP5,Luminal epithelial cells
4203,RUNX1,Luminal epithelial cells
4204,CDH1,Luminal epithelial cells
4205,MUC1,Luminal epithelial cells
4206,ANPEP,Luminal epithelial cells
4207,KLK3,Luminal epithelial cells
4208,AKT1,Luteal cells
4209,LHCGR,Luteal cells
4210,HSD3B1,Luteal cells
4211,CYP11A1,Luteal cells
4212,EPHX2,Luteal cells
4213,SFRP4,Luteal cells
4214,PLIN5,Luteal cells
4215,BHMT,Luteal cells
4216,PGAM1,Luteal cells
4217,CHKA,Luteal cells
4218,ADAMTS1,Luteal cells
4219,SLC16A2,Luteal cells
4220,PMPCB,Luteal cells
4221,SDC1,Luteal cells
4222,BCAT1,Luteal cells
4223,RORA,Luteal cells
4224,AIF1L,Luteal cells
4225,DHCR7,Luteal cells
4226,EPDR1,Luteal cells
4227,AVPI1,Luteal cells
4228,GAMT,Luteal cells
4229,PRLR,Luteal cells
4230,TMEM86A,Luteal cells
4231,CITED4,Luteal cells
4233,GAPDH,Luteal cells
4234,FKBP5,Luteal cells
4235,ME1,Luteal cells
4236,ITGAL,Macrophages
4237,ITGAM,Macrophages
4238,CD14,Macrophages
4239,FUT4,Macrophages
4240,FCGR3A,Macrophages
4241,CD33,Macrophages
4242,FCGR1A,Macrophages
4243,CD80,Macrophages
4244,LILRB4,Macrophages
4245,CD86,Macrophages
4246,CD163,Macrophages
4247,CCR5,Macrophages
4248,TLR2,Macrophages
4249,TLR4,Macrophages
4250,ADGRE1,Macrophages
4251,GPR34,Macrophages
4253,TREM2,Macrophages
4254,FABP4,Macrophages
4255,S100A8,Macrophages
4257,CPM,Macrophages
4258,CHIT1,Macrophages
4259,F13A1,Macrophages
4261,CX3CR1,Macrophages
4262,CXCL16,Macrophages
4263,TGFBR1,Macrophages
4264,SLAMF9,Macrophages
4266,SCIMP,Macrophages
4267,LILRA5,Macrophages
4270,CD83,Macrophages
4271,C3AR1,Macrophages
4272,STAB1,Macrophages
4273,MRC1,Macrophages
4274,PARP14,Macrophages
4276,FGD2,Macrophages
4278,RAB7B,Macrophages
4279,RBPJ,Macrophages
4280,SLCO2B1,Macrophages
4281,NAAA,Macrophages
4282,MARCH1,Macrophages
4283,EGLN3,Macrophages
4284,JAML,Macrophages
4285,FGL2,Macrophages
4287,GPNMB,Macrophages
4288,CLEC4D,Macrophages
4289,ADAM8,Macrophages
4290,ARL11,Macrophages
4291,MMP12,Macrophages
4292,LYVE1,Macrophages
4293,PLTP,Macrophages
4294,VSIG4,Macrophages
4295,MS4A4A,Macrophages
4296,MS4A6A,Macrophages
4297,FPR1,Macrophages
4298,CD180,Macrophages
4300,GDF15,Macrophages
4301,RAB20,Macrophages
4302,HFE,Macrophages
4303,TNF,Macrophages
4304,CCR2,Macrophages
4305,SNX20,Macrophages
4307,FMNL1,Macrophages
4308,GPR132,Macrophages
4309,SLAMF7,Macrophages
4310,NCEH1,Macrophages
4311,CCL24,Macrophages
4312,C5AR1,Macrophages
4313,CD300A,Macrophages
4314,CXCL2,Macrophages
4315,CCL7,Macrophages
4316,CCL2,Macrophages
4317,IL1B,Macrophages
4318,IRF5,Macrophages
4319,AHR,Macrophages
4320,MYO1G,Macrophages
4321,DUSP5,Macrophages
4322,GPR171,Macrophages
4323,CCR7,Macrophages
4324,DNASE1L3,Macrophages
4325,CXCL1,Macrophages
4326,SAMSN1,Macrophages
4327,NR4A3,Macrophages
4328,CCL22,Macrophages
4329,S100A4,Macrophages
4330,MMP9,Macrophages
4331,HILPDA,Macrophages
4332,NRP2,Macrophages
4333,SLC37A2,Macrophages
4334,CTSK,Macrophages
4335,CD36,Macrophages
4336,LPCAT2,Macrophages
4337,HPGDS,Macrophages
4338,IFNAR2,Macrophages
4339,MS4A7,Macrophages
4340,SLC11A1,Macrophages
4341,HPGD,Macrophages
4342,CCL3,Macrophages
4343,CLEC7A,Macrophages
4344,CD5L,Macrophages
4346,CCL5,Macrophages
4347,CYTH4,Macrophages
4350,CD3E,Macrophages
4351,CD19,Macrophages
4352,CD74,Macrophages
4354,CSF1R,Macrophages
4355,LGALS3,Macrophages
4356,CD68,Macrophages
4357,UCP2,Macrophages
4358,TREML4,Macrophages
4359,FGR,Macrophages
4360,CYBB,Macrophages
4361,CD200,Macrophages
4362,CD200R1,Macrophages
4363,GATA6,Macrophages
4367,ITGAX,Macrophages
4369,PPARG,Macrophages
4371,TYROBP,Macrophages
4372,RGS1,Macrophages
4373,DAB2,Macrophages
4374,P2RY6,Macrophages
4375,MAF,Macrophages
4377,AIF1,Macrophages
4378,CLEC10A,Macrophages
4380,ADGRE5,Macrophages
4383,SLC15A3,Macrophages
4385,CYP27A1,Macrophages
4386,SLC7A7,Macrophages
4387,RUNX3,Macrophages
4388,SYK,Macrophages
4389,CSN2,Mammary epithelial cells
4391,BTN1A1,Mammary epithelial cells
4392,BTN2A2,Mammary epithelial cells
4393,BTN3A1,Mammary epithelial cells
4394,MMP14,Mammary epithelial cells
4395,TOX3,Mammary epithelial cells
4396,CDH1,Mammary epithelial cells
4397,FFAR1,Mammary epithelial cells
4398,PYGO2,Mammary epithelial cells
4399,SERPINB5,Mammary epithelial cells
4400,RUNX2,Mammary epithelial cells
4402,CITED1,Mammary epithelial cells
4403,IRF6,Mammary epithelial cells
4404,SULT1E1,Mammary epithelial cells
4405,KRT14,Mammary epithelial cells
4406,KDM3A,Mammary epithelial cells
4407,SLC30A2,Mammary epithelial cells
4408,PADI2,Mammary epithelial cells
4409,CLDN1,Mammary epithelial cells
4410,ABCG2,Mammary epithelial cells
4411,PIP,Mammary epithelial cells
4412,KRT5,Mammary epithelial cells
4413,PRLR,Mammary epithelial cells
4414,CLDN4,Mammary epithelial cells
4415,CSN3,Mammary epithelial cells
4416,CSN1S1,Mammary epithelial cells
4417,RARRES1,Mammary epithelial cells
4418,KRT17,Mammary epithelial cells
4419,NNMT,Mammary epithelial cells
4420,ALDH1A3,Mammary epithelial cells
4421,SGMS2,Mammary epithelial cells
4422,PIEZO1,Mammary epithelial cells
4423,ANO1,Mammary epithelial cells
4424,WNT5B,Mammary epithelial cells
4425,NEDD9,Mammary epithelial cells
4426,FOXP4,Mammary epithelial cells
4427,LSR,Mammary epithelial cells
4428,LIF,Mammary epithelial cells
4429,KRT19,Mammary epithelial cells
4430,KRT7,Mammary epithelial cells
4431,STAT3,Mammary epithelial cells
4432,KRT8,Mammary epithelial cells
4433,KRT18,Mammary epithelial cells
4435,KIT,Mast cells
4436,ENPP3,Mast cells
4437,IL2RA,Mast cells
4438,FCER2,Mast cells
4439,IL17A,Mast cells
4440,CRH,Mast cells
4441,HSD11B1,Mast cells
4442,CD274,Mast cells
4443,CXCR2,Mast cells
4444,CXCR4,Mast cells
4445,CCR3,Mast cells
4446,CCR5,Mast cells
4447,LTC4S,Mast cells
4448,GPR34,Mast cells
4449,MGST2,Mast cells
4450,ACHE,Mast cells
4451,CPA3,Mast cells
4452,CPA1,Mast cells
4453,CMA1,Mast cells
4454,HNMT,Mast cells
4455,TPSAB1,Mast cells
4456,PTGDS ,Mast cells
4457,CFP,Mast cells
4458,RAB27B,Mast cells
4460,SLA,Mast cells
4461,IL1RL1,Mast cells
4463,GNAI1,Mast cells
4464,CFD,Mast cells
4465,OSBPL8,Mast cells
4466,ADORA3,Mast cells
4467,HS3ST1,Mast cells
4468,CSF2RB,Mast cells
4469,DAPP1,Mast cells
4470,SLC6A4,Mast cells
4471,MAOB,Mast cells
4473,CSRNP1,Mast cells
4474,CYP11A1,Mast cells
4475,RGS1,Mast cells
4477,PLEK,Mast cells
4479,HDC,Mast cells
4481,TPSB2,Mast cells
4482,TPH1,Mast cells
4483,CD55,Mast cells
4485,RGS13,Mast cells
4486,TPSG1,Mast cells
4487,SOCS1,Mast cells
4488,BTK,Mast cells
4489,IL4,Mast cells
4490,MS4A2,Mast cells
4491,VWA5A,Mast cells
4492,FCER1A,Mast cells
4493,MCEMP1,Mast cells
4494,MILR1,Mast cells
4495,CCL2,Mast cells
4497,CREB3L1,Mast cells
4498,EDNRA,Mast cells
4499,HS6ST2,Mast cells
4500,KCNE3,Mast cells
4502,MEIS2,Mast cells
4504,MRGPRX2,Mast cells
4506,PLAU,Mast cells
4507,ADAMTS9,Mast cells
4508,CHST1,Mast cells
4509,COBL,Mast cells
4510,CTSG,Mast cells
4511,DNM3,Mast cells
4512,FAM198B,Mast cells
4513,GRIK2,Mast cells
4514,HPGDS,Mast cells
4515,HS3ST3A1,Mast cells
4516,PAPSS2,Mast cells
4517,PCBD1,Mast cells
4518,PCP4L1,Mast cells
4519,RNF128,Mast cells
4521,SLC29A1,Mast cells
4522,SLC45A3,Mast cells
4523,STARD13,Mast cells
4524,A4GALT,Mast cells
4525,ACER3,Mast cells
4526,ARMCX3,Mast cells
4527,ATL2,Mast cells
4528,BBS10,Mast cells
4529,BMPR2,Mast cells
4530,C2,Mast cells
4532,CCDC141,Mast cells
4533,CCL7,Mast cells
4534,CDC42BPA,Mast cells
4535,CDH9,Mast cells
4536,COPZ2,Mast cells
4540,ZDHHC13,Mast cells
4541,WDR60,Mast cells
4542,UNC13B,Mast cells
4543,TRANK1,Mast cells
4544,TIAM2,Mast cells
4545,TCF7L1,Mast cells
4546,STK32B,Mast cells
4547,ST6GALNAC3,Mast cells
4548,SOCS2,Mast cells
4549,SPRED1,Mast cells
4550,SMPX,Mast cells
4551,SMARCA1,Mast cells
4552,SLC7A5,Mast cells
4553,SLC4A4,Mast cells
4554,SLC31A2,Mast cells
4555,SGCE,Mast cells
4556,ROR1,Mast cells
4557,RNF180,Mast cells
4558,RIOK2,Mast cells
4559,RBFOX1,Mast cells
4560,RAPGEF2,Mast cells
4561,PDE1C,Mast cells
4562,PCDH7,Mast cells
4563,OPTN,Mast cells
4567,OAF,Mast cells
4568,NEO1,Mast cells
4569,NDST2,Mast cells
4570,NCEH1,Mast cells
4572,MRGPRX1,Mast cells
4573,MLPH,Mast cells
4574,MITF,Mast cells
4575,MFGE8,Mast cells
4576,LSAMP,Mast cells
4577,LRRC66,Mast cells
4578,LIMA1,Mast cells
4579,KRT4,Mast cells
4580,KDELR3,Mast cells
4581,IDS,Mast cells
4582,HSPA13,Mast cells
4583,HS2ST1,Mast cells
4584,GPM6A,Mast cells
4585,GP1BA,Mast cells
4586,GNAZ,Mast cells
4587,FAM84A,Mast cells
4588,FAM129B,Mast cells
4589,EXT1,Mast cells
4590,ESYT3,Mast cells
4591,ENO2,Mast cells
4592,ENAH,Mast cells
4593,DUSP1,Mast cells
4594,DGKI,Mast cells
4595,DDC,Mast cells
4596,DCLK3,Mast cells
4597,ITGA2B,Megakaryocytes
4598,GP1BA,Megakaryocytes
4599,ITGB3,Megakaryocytes
4600,MPL,Megakaryocytes
4601,LAT,Megakaryocytes
4602,PLEK,Megakaryocytes
4603,S100A9,Megakaryocytes
4604,S100A8,Megakaryocytes
4605,PF4,Megakaryocytes
4606,F13A1,Megakaryocytes
4607,CD9,Megakaryocytes
4608,EPOR,Megakaryocytes
4609,CXCR4,Megakaryocytes
4610,GP5,Megakaryocytes
4611,CXCR1,Megakaryocytes
4612,CXCR2,Megakaryocytes
4613,SLAMF1,Megakaryocytes
4614,PDE6B,Megakaryocytes
4615,MATK,Megakaryocytes
4616,SPON2,Megakaryocytes
4617,MKL2,Megakaryocytes
4618,TLR9,Megakaryocytes
4619,KIF5B,Megakaryocytes
4620,GATA1,Megakaryocytes
4621,FLI1,Megakaryocytes
4622,PROX1,Megakaryocytes
4623,SYP,Megakaryocytes
4624,TSPAN9,Megakaryocytes
4625,RGS18,Megakaryocytes
4626,TREML1,Megakaryocytes
4627,GATA2,Megakaryocytes
4628,VWF,Megakaryocytes
4629,ALOX12,Megakaryocytes
4630,SELP,Megakaryocytes
4631,NFATC1,Megakaryocytes
4632,CIB1,Megakaryocytes
4633,PLK3,Megakaryocytes
4634,MAFG,Megakaryocytes
4635,IL2RA,Megakaryocytes
4636,PECAM1,Megakaryocytes
4637,PPARG,Megakaryocytes
4638,IL6,Megakaryocytes
4639,IL21R,Megakaryocytes
4640,LRP1,Megakaryocytes
4641,ACHE,Megakaryocytes
4642,VEGFA,Megakaryocytes
4643,TGFB1,Megakaryocytes
4644,GP9,Megakaryocytes
4645,AHR,Melanocytes
4646,MC1R,Melanocytes
4647,PMEL,Melanocytes
4648,PTGDS,Melanocytes
4649,SLC45A2,Melanocytes
4650,MLANA,Melanocytes
4651,MITF,Melanocytes
4652,TYR,Melanocytes
4653,TYRP1,Melanocytes
4654,DCT,Melanocytes
4655,FILIP1L,Melanocytes
4656,GPNMB,Melanocytes
4657,LOXL2,Melanocytes
4658,ZC3H7A,Melanocytes
4659,SLK,Melanocytes
4661,DKK3,Melanocytes
4662,AHNAK2,Melanocytes
4663,HSPB1,Melanocytes
4664,PAX3,Melanocytes
4665,TRPM1,Melanocytes
4666,CTNS,Melanocytes
4667,ENPP1,Melanocytes
4668,SOX9,Melanocytes
4669,BNC2,Melanocytes
4670,MEN1,Melanocytes
4671,POMC,Melanocytes
4672,TFAP2A,Melanocytes
4673,RAB38,Melanocytes
4674,TP63,Melanocytes
4675,CRABP1,Melanocytes
4676,BMI1,Melanocytes
4677,PTN,Melanocytes
4679,PRKN,Melanocytes
4680,KLC2,Melanocytes
4681,IL24,Melanocytes
4682,TPH2,Melanocytes
4683,PPARA,Melanocytes
4684,PPARD,Melanocytes
4685,PPARG,Melanocytes
4686,PRKCA,Melanocytes
4687,FOXC1,Meningeal cells
4688,FOXC2,Meningeal cells
4689,BMP7,Meningeal cells
4690,ZIC1,Meningeal cells
4691,ZIC3,Meningeal cells
4692,ALDH1A2,Meningeal cells
4693,ALX4,Meningeal cells
4694,IGF2,Meningeal cells
4695,VTN,Meningeal cells
4696,IGFBP2,Meningeal cells
4697,DCN,Meningeal cells
4698,LUM,Meningeal cells
4699,PDGFRA,Meningeal cells
4700,IL33,Meningeal cells
4701,PTGDS,Meningeal cells
4702,NNAT,Meningeal cells
4703,NOV,Meningeal cells
4704,SLC47A1,Meningeal cells
4705,CHGA,Merkel cells
4706,KRT20,Merkel cells
4707,FLI1,Merkel cells
4708,CD99,Merkel cells
4709,GNAI1,Merkel cells
4710,VIL1,Merkel cells
4711,PIEZO2,Merkel cells
4712,ID2,Merkel cells
4713,TRPV4,Merkel cells
4714,ATOH1,Merkel cells
4715,SOX2,Merkel cells
4716,TTF1,Merkel cells
4717,POU4F3,Merkel cells
4718,GFI1,Merkel cells
4719,KRT8,Merkel cells
4720,KRT18,Merkel cells
4721,PDGFB,Mesangial cells
4722,PDGFRB,Mesangial cells
4723,ACTA2,Mesangial cells
4724,TNS1,Mesangial cells
4725,SFRP2,Mesangial cells
4726,ECM1,Mesangial cells
4727,ANGPT2,Mesangial cells
4728,FGF1,Mesangial cells
4729,CTGF,Mesangial cells
4730,PLAU,Mesangial cells
4731,GATA3,Mesangial cells
4732,LEF1,Mesangial cells
4733,MRC1,Mesangial cells
4734,PML,Mesangial cells
4735,OGT,Mesangial cells
4736,NOCT,Mesangial cells
4737,NCOA2,Mesangial cells
4738,PER3,Mesangial cells
4739,PLA2R1,Mesangial cells
4740,TRIP4,Mesangial cells
4741,AMOTL2,Mesangial cells
4742,LATS2,Mesangial cells
4743,YAP1,Mesangial cells
4744,LRP5,Mesangial cells
4745,MIB1,Mesangial cells
4746,NOSTRIN,Mesangial cells
4747,ADAMTSL4,Mesangial cells
4748,EMILIN1,Mesangial cells
4749,ITGA8,Mesangial cells
4750,DYRK1A,Mesangial cells
4751,ARID5B,Mesangial cells
4752,CCR7,Mesangial cells
4753,FN1,Mesangial cells
4754,PAWR,Mesangial cells
4755,PTN,Mesangial cells
4756,SERPINE2,Mesangial cells
4757,TBX18,Mesangial cells
4758,TEK,Mesangial cells
4759,THY1,Mesangial cells
4760,MYL9,Mesangial cells
4761,TPM2,Mesangial cells
4762,CALD1,Mesangial cells
4763,HOPX,Mesangial cells
4764,NR4A2,Mesangial cells
4765,ACTN1,Mesangial cells
4766,AKAP12,Mesangial cells
4767,ROCK1,Mesangial cells
4768,SH3BGRL,Mesangial cells
4769,RASD1,Mesangial cells
4770,SNCG,Mesangial cells
4771,FILIP1L,Mesangial cells
4772,FLNA,Mesangial cells
4773,MEF2C,Mesangial cells
4774,CSTB,Mesangial cells
4775,SMARCA5,Mesangial cells
4776,PDE3A,Mesangial cells
4777,MAP3K20,Mesangial cells
4778,CALB2,Mesothelial cells
4779,MUC16,Mesothelial cells
4780,KRT5,Mesothelial cells
4781,KRT6A,Mesothelial cells
4782,DES,Mesothelial cells
4783,CDH1,Mesothelial cells
4784,HAS2,Mesothelial cells
4785,KRT7,Mesothelial cells
4786,ME1,Mesothelial cells
4787,ME2,Mesothelial cells
4788,MSLN,Mesothelial cells
4789,THBD,Mesothelial cells
4790,WT1,Mesothelial cells
4791,LRRN4,Mesothelial cells
4792,IL17RE,Mesothelial cells
4793,LOX,Mesothelial cells
4795,KCNAB1,Mesothelial cells
4796,PKHD1L1,Mesothelial cells
4797,SULF1,Mesothelial cells
4798,DUSP5,Mesothelial cells
4799,MIR22HG,Mesothelial cells
4800,COBLL1,Mesothelial cells
4801,ST3GAL1,Mesothelial cells
4802,FBXO33,Mesothelial cells
4803,FZD1,Mesothelial cells
4804,RASL11A,Mesothelial cells
4805,CDON,Mesothelial cells
4806,BCL3,Mesothelial cells
4807,ACKR3,Mesothelial cells
4808,NPR1,Mesothelial cells
4809,PCSK6,Mesothelial cells
4810,DPP4,Mesothelial cells
4811,RND1,Mesothelial cells
4812,GBP2,Mesothelial cells
4814,MEDAG,Mesothelial cells
4815,AR,Mesothelial cells
4816,LGALS7,Mesothelial cells
4818,ANO1,Mesothelial cells
4819,GSTA3,Mesothelial cells
4820,OSR1,Mesothelial cells
4821,TWSG1,Mesothelial cells
4823,ADGRD1,Mesothelial cells
4824,CRLS1,Mesothelial cells
4825,FLNC,Mesothelial cells
4826,PTGS2,Mesothelial cells
4827,C2,Mesothelial cells
4828,FMO2,Mesothelial cells
4829,FMOD,Mesothelial cells
4830,FGF1,Mesothelial cells
4832,EFEMP1,Mesothelial cells
4833,FRAS1,Mesothelial cells
4834,RSPO1,Mesothelial cells
4835,RARRES2,Mesothelial cells
4836,GP2,Microfold cells
4837,SPIB,Microfold cells
4838,PGLYRP1,Microfold cells
4840,EHF,Microfold cells
4841,ANXA5,Microfold cells
4842,SOX8,Microfold cells
4843,MIER3,Microfold cells
4844,NFIC,Microfold cells
4846,CXCL16,Microfold cells
4847,CTSD,Microfold cells
4848,CCL20,Microfold cells
4849,CTSH,Microfold cells
4851,MARCKSL1,Microfold cells
4852,RAC2,Microfold cells
4853,TNFAIP2,Microfold cells
4854,FABP5,Microfold cells
4855,GJB2,Microfold cells
4856,MFGE8,Microfold cells
4857,CYBA,Microfold cells
4858,TMPRSS2,Microfold cells
4859,AHR,Microfold cells
4860,MTF1,Microfold cells
4861,RELB,Microfold cells
4862,TULP4,Microfold cells
4863,ONECUT2,Microfold cells
4864,FOSL2,Microfold cells
4865,IRF6,Microfold cells
4866,IRF2,Microfold cells
4868,NFIB,Microfold cells
4869,FOXP4,Microfold cells
4870,ITGAM,Microglia
4871,ITGAX,Microglia
4872,C5AR1,Microglia
4873,CX3CR1,Microglia
4874,P2RY12,Microglia
4875,P2RX7,Microglia
4876,CD40,Microglia
4877,TREM2,Microglia
4878,TMEM119,Microglia
4879,GPR34,Microglia
4880,TFF3,Microglia
4883,SALL1,Microglia
4884,CSF3R,Microglia
4885,TCIRG1,Microglia
4886,SUSD3,Microglia
4887,GPR183,Microglia
4888,VAV1,Microglia
